municipality_id,municipality_name,registered_voters
0101,Águeda,41669
0102,Albergaria-a-Velha,22407
0103,Anadia,25449
0104,Arouca,19696
0105,Aveiro,70189
0106,Castelo de Paiva,14005
0107,Espinho,29347
0108,Estarreja,23997
0109,Santa Maria da Feira,126913
0110,Ílhavo,36377
0111,Mealhada,17653
0112,Murtosa,9947
0113,Oliveira de Azeméis,60615
0114,Oliveira do Bairro,20867
0115,Ovar,51141
0116,São João da Madeira,19346
0117,Sever do Vouga,10170
0118,Vagos,22523
0119,Vale de Cambra,19733
0201,Aljustrel,7715
0202,Almodôvar,5922
0203,Alvito,1873
0204,Barrancos,1265
0205,Beja,28325
0206,Castro Verde,5992
0207,Cuba,3626
0208,Ferreira do Alentejo,6129
0209,Mértola,5500
0210,Moura,11784
0211,Odemira,19394
0212,Ourique,4096
0213,Serpa,12139
0214,Vidigueira,4560
0301,Amares,17673
0302,Barcelos,106911
0303,Braga,167776
0304,Cabeceiras de Basto,16821
0305,Celorico de Basto,17294
0306,Esposende,33704
0307,Fafe,49948
0308,Guimarães,143435
0309,Póvoa de Lanhoso,22034
0310,Terras de Bouro,6412
0311,Vieira do Minho,12035
0312,Vila Nova de Famalicão,121257
0313,Vila Verde,45158
0314,Vizela,21909
0401,Alfândega da Fé,4991
0402,Bragança,35175
0403,Carrazeda de Ansiães,5781
0404,Freixo de Espada à Cinta,2887
0405,Macedo de Cavaleiros,17018
0406,Miranda do Douro,6925
0407,Mirandela,22376
0408,Mogadouro,9468
0409,Torre de Moncorvo,7372
0410,Vila Flor,6561
0411,Vimioso,5104
0412,Vinhais,9110
0501,Belmonte,5811
0502,Castelo Branco,47959
0503,Covilhã,43032
0504,Fundão,24745
0505,Idanha-a-Nova,7482
0506,Oleiros,4432
0507,Penamacor,3960
0508,Proença-a-Nova,6534
0509,Sertã,13143
0510,Vila de Rei,2713
0511,Vila Velha de Ródão,2763
0601,Arganil,9777
0602,Cantanhede,34080
0603,Coimbra,124214
0604,Condeixa-a-Nova,14778
0605,Figueira da Foz,54388
0606,Góis,3373
0607,Lousã,15355
0608,Mira,12616
0609,Miranda do Corvo,10691
0610,Montemor-o-Velho,21627
0611,Oliveira do Hospital,17094
0612,Pampilhosa da Serra,3268
0613,Penacova,12786
0614,Penela,4658
0615,Soure,15755
0616,Tábua,10090
0617,Vila Nova de Poiares,6223
0701,Alandroal,4320
0702,Arraiolos,5818
0703,Borba,5724
0704,Estremoz,10832
0705,Évora,46058
0706,Montemor-o-Novo,13544
0707,Mora,3812
0708,Mourão,2118
0709,Portel,4921
0710,Redondo,5534
0711,Reguengos de Monsaraz,8735
0712,Vendas Novas,10007
0713,Viana do Alentejo,4681
0714,Vila Viçosa,6516
0801,Albufeira,36146
0802,Alcoutim,2183
0803,Aljezur,3995
0804,Castro Marim,5801
0805,Faro,56893
0806,Lagoa,19057
0807,Lagos,23886
0808,Loulé,61223
0809,Monchique,4263
0810,Olhão,37763
0811,Portimão,50656
0812,São Brás de Alportel,9315
0813,Silves,30858
0814,Tavira,21296
0815,Vila do Bispo,3813
0816,Vila Real de Santo António,16796
0901,Aguiar da Beira,5632
0902,Almeida,6217
0903,Celorico da Beira,6971
0904,Figueira de Castelo Rodrigo,5108
0905,Fornos de Algodres,4131
0906,Gouveia,11843
0907,Guarda,36504
0908,Manteigas,2912
0909,Mêda,4935
0910,Pinhel,8462
0911,Sabugal,11465
0912,Seia,20315
0913,Trancoso,8433
0914,Vila Nova de Foz Côa,6578
1001,Alcobaça,48861
1002,Alvaiázere,5726
1003,Ansião,10952
1004,Batalha,13957
1005,Bombarral,11528
1006,Caldas da Rainha,45263
1007,Castanheira de Pêra,2463
1008,Figueiró dos Vinhos,5022
1009,Leiria,113509
1010,Marinha Grande,34152
1011,Nazaré,13994
1012,Óbidos,10787
1013,Pedrógão Grande,2963
1014,Peniche,24247
1015,Pombal,48156
1016,Porto de Mós,20415
1101,Alenquer,37463
1102,Arruda dos Vinhos,12099
1103,Azambuja,17756
1104,Cadaval,12477
1105,Cascais,177354
1106,Lisboa,460723
1107,Loures,168493
