parish_id,parish_name,registered_voters,municipality_id
010103,Aguada de Cima,3597,0101
010109,Fermentelos,2813,0101
010112,Macinhata do Vouga,3004,0101
010119,Valongo do Vouga,4215,0101
010121,Águeda e Borralha,11753,0101
010122,Barrô e Aguada de Baixo,2848,0101
010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",1324,0101
010124,Recardães e Espinhel,5315,0101
010125,Travassô e Óis da Ribeira,2007,0101
010126,"Trofa, Segadães e Lamas do Vouga",4047,0101
010127,Préstimo e Macieira de Alcoba,746,0101
010202,Alquerubim,2060,0102
010203,Angeja,1764,0102
010204,Branca,4950,0102
010206,Ribeira de Fráguas,1399,0102
010209,Albergaria-a-Velha e Valmaior,9719,0102
010210,São João de Loure e Frossos,2515,0102
010304,Avelãs de Caminho,1028,0103
010305,Avelãs de Cima,1805,0103
010307,Moita,2050,0103
010309,Sangalhos,3500,0103
010310,São Lourenço do Bairro,2206,0103
010312,Vila Nova de Monsarros,1486,0103
010313,Vilarinho do Bairro,2585,0103
010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",2404,0103
010317,Arcos e Mogofores,5472,0103
010318,"Tamengos, Aguim e Óis do Bairro",2913,0103
010402,Alvarenga,916,0104
010407,Chave,1159,0104
010409,Escariz,1903,0104
010411,Fermedo,1143,0104
010413,Mansores,985,0104
010414,Moldes,1092,0104
010415,Rossas,1357,0104
010416,Santa Eulália,1995,0104
010417,São Miguel do Mato,614,0104
010418,Tropeço,1032,0104
010419,Urrô,874,0104
010420,Várzea,450,0104
010421,Arouca e Burgo,4776,0104
010422,Cabreiros e Albergaria da Serra,236,0104
010423,Canelas e Espiunca,995,0104
010424,Covelo de Paivó e Janarde,169,0104
010501,Aradas,8375,0105
010502,Cacia,6260,0105
010505,Esgueira,11640,0105
010508,Oliveirinha,4157,0105
010510,São Bernardo,4603,0105
010511,São Jacinto,821,0105
010513,Santa Joana,7109,0105
010515,Eixo e Eirol,5428,0105
010516,"Requeixo, Nossa Senhora de Fátima e Nariz",4046,0105
010517,Glória e Vera Cruz,17750,0105
010602,Fornos,1111,0106
010606,Real,1050,0106
010607,Santa Maria de Sardoura,2020,0106
010608,São Martinho de Sardoura,1584,0106
010610,"Raiva, Pedorido e Paraíso",3863,0106
010611,Sobrado e Bairros,4377,0106
010702,Espinho,9970,0107
010704,Paramos,3038,0107
010705,Silvalde,5660,0107
010706,Anta e Guetim,10679,0107
010801,Avanca,5326,0108
010805,Pardilhó,3787,0108
010806,Salreu,3285,0108
010808,Beduído e Veiros,9112,0108
010809,Canelas e Fermelã,2487,0108
010901,Argoncilhe,7493,0109
010902,Arrifana,5621,0109
010904,Escapães,3096,0109
010907,Fiães,6777,0109
010908,Fornos,3026,0109
010913,Lourosa,7711,0109
010914,Milheirós de Poiares,3276,0109
010916,Mozelos,6666,0109
010917,Nogueira da Regedoura,5255,0109
010918,São Paio de Oleiros,3453,0109
010919,Paços de Brandão,4355,0109
010921,Rio Meão,4511,0109
010922,Romariz,2781,0109
010924,Sanguedo,3172,0109
010925,Santa Maria de Lamas,4402,0109
010926,São João de Ver,9823,0109
010932,Caldas de São Jorge e Pigeiros,3499,0109
010933,"Canedo, Vale e Vila Maior",8710,0109
010934,"Lobão, Gião, Louredo e Guisande",9508,0109
010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",17660,0109
010936,São Miguel de Souto e Mosteirô,6118,0109
011005,Gafanha da Encarnação,5221,0110
011006,Gafanha da Nazaré,14083,0110
011007,Gafanha do Carmo,1784,0110
011008,Ílhavo (São Salvador),15289,0110
011102,Barcouço,1867,0111
011103,Casal Comba,2919,0111
011104,Luso,2149,0111
011106,Pampilhosa,3469,0111
011107,Vacariça,1582,0111
011109,"Mealhada, Ventosa do Bairro e Antes",5667,0111
011201,Bunheiro,2406,0112
011202,Monte,1558,0112
011203,Murtosa,3178,0112
011204,Torreira,2805,0112
011301,Carregosa,3060,0113
011302,Cesar,2806,0113
011303,Fajões,2708,0113
011304,Loureiro,3332,0113
011305,Macieira de Sarnes,1639,0113
011310,Ossela,1798,0113
011315,São Martinho da Gândara,1750,0113
011318,São Roque,4554,0113
011319,Vila de Cucujães,9265,0113
011320,Nogueira do Cravo e Pindelo,4689,0113
011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",18658,0113
011322,"Pinheiro da Bemposta, Travanca e Palmaz",6356,0113
011403,Oiã,6880,0114
011404,Oliveira do Bairro,5688,0114
011405,Palhaça,2413,0114
011407,"Bustos, Troviscal e Mamarrosa",5886,0114
011502,Cortegaça,3408,0115
011503,Esmoriz,11140,0115
011504,Maceda,3205,0115
011507,Válega,6222,0115
011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",27166,0115
011601,São João da Madeira,19346,0116
011702,Couto de Esteves,697,0117
011704,Pessegueiro do Vouga,1565,0117
011705,Rocas do Vouga,1438,0117
011706,Sever do Vouga,2321,0117
011708,Talhadas,1054,0117
011710,Cedrim e Paradela,1252,0117
011711,Silva Escura e Dornelas,1843,0117
011801,Calvão,2051,0118
011804,Gafanha da Boa Hora,3236,0118
011805,Ouca,1646,0118
011807,Sosa,2731,0118
011810,Santo André de Vagos,1994,0118
011812,Fonte de Angeão e Covão do Lobo,2126,0118
011813,Ponte de Vagos e Santa Catarina,2813,0118
011814,Vagos e Santo António,5926,0118
011901,Arões,1174,0119
011902,São Pedro de Castelões,6260,0119
011903,Cepelos,1214,0119
011905,Junqueira,829,0119
011906,Macieira de Cambra,4035,0119
011907,Roge,1500,0119
011910,"Vila Chã, Codal e Vila Cova de Perrinho",4721,0119
020102,Ervidel,790,0201
020103,Messejana,705,0201
020104,São João de Negrilhos,1173,0201
020106,Aljustrel e Rio de Moinhos,5047,0201
020203,Rosário,545,0202
020205,Santa Cruz,459,0202
020206,São Barnabé,324,0202
020208,Aldeia dos Fernandes,504,0202
020209,Almodôvar e Graça dos Padrões,3385,0202
020210,Santa Clara-a-Nova e Gomes Aires,705,0202
