parish_id,parish_name,municipality_id,party,votes
010103,Aguada de Cima,0101,ADN,38
010109,Fermentelos,0101,ADN,41
010112,Macinhata do Vouga,0101,ADN,32
010119,Valongo do Vouga,0101,ADN,49
010121,Águeda e Borralha,0101,ADN,110
010122,Barrô e Aguada de Baixo,0101,ADN,30
010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",0101,ADN,18
010124,Recardães e Espinhel,0101,ADN,60
010125,Travassô e Óis da Ribeira,0101,ADN,38
010126,"Trofa, Segadães e Lamas do Vouga",0101,ADN,46
010127,Préstimo e Macieira de Alcoba,0101,ADN,13
010202,Alquerubim,0102,ADN,34
010203,Angeja,0102,ADN,21
010204,Branca,0102,ADN,68
010206,Ribeira de Fráguas,0102,ADN,18
010209,Albergaria-a-Velha e Valmaior,0102,ADN,90
010210,São João de Loure e Frossos,0102,ADN,42
010304,Avelãs de Caminho,0103,ADN,13
010305,Avelãs de Cima,0103,ADN,21
010307,Moita,0103,ADN,25
010309,Sangalhos,0103,ADN,46
010310,São Lourenço do Bairro,0103,ADN,31
010312,Vila Nova de Monsarros,0103,ADN,22
010313,Vilarinho do Bairro,0103,ADN,40
010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",0103,ADN,32
010317,Arcos e Mogofores,0103,ADN,52
010318,"Tamengos, Aguim e Óis do Bairro",0103,ADN,29
010402,Alvarenga,0104,ADN,19
010407,Chave,0104,ADN,15
010409,Escariz,0104,ADN,26
010411,Fermedo,0104,ADN,17
010413,Mansores,0104,ADN,26
010414,Moldes,0104,ADN,18
010415,Rossas,0104,ADN,14
010416,Santa Eulália,0104,ADN,35
010417,São Miguel do Mato,0104,ADN,19
010418,Tropeço,0104,ADN,14
010419,Urrô,0104,ADN,11
010420,Várzea,0104,ADN,2
010421,Arouca e Burgo,0104,ADN,49
010422,Cabreiros e Albergaria da Serra,0104,ADN,3
010423,Canelas e Espiunca,0104,ADN,12
010424,Covelo de Paivó e Janarde,0104,ADN,5
010501,Aradas,0105,ADN,96
010502,Cacia,0105,ADN,69
010505,Esgueira,0105,ADN,99
010508,Oliveirinha,0105,ADN,48
010510,São Bernardo,0105,ADN,54
010511,São Jacinto,0105,ADN,12
010513,Santa Joana,0105,ADN,65
010515,Eixo e Eirol,0105,ADN,61
010516,"Requeixo, Nossa Senhora de Fátima e Nariz",0105,ADN,61
010517,Glória e Vera Cruz,0105,ADN,112
010602,Fornos,0106,ADN,9
010606,Real,0106,ADN,19
010607,Santa Maria de Sardoura,0106,ADN,22
010608,São Martinho de Sardoura,0106,ADN,21
010610,"Raiva, Pedorido e Paraíso",0106,ADN,49
010611,Sobrado e Bairros,0106,ADN,41
010702,Espinho,0107,ADN,89
010704,Paramos,0107,ADN,29
010705,Silvalde,0107,ADN,82
010706,Anta e Guetim,0107,ADN,157
010801,Avanca,0108,ADN,59
010805,Pardilhó,0108,ADN,29
010806,Salreu,0108,ADN,33
010808,Beduído e Veiros,0108,ADN,103
010809,Canelas e Fermelã,0108,ADN,31
010901,Argoncilhe,0109,ADN,93
010902,Arrifana,0109,ADN,60
010904,Escapães,0109,ADN,16
010907,Fiães,0109,ADN,74
010908,Fornos,0109,ADN,25
010913,Lourosa,0109,ADN,92
010914,Milheirós de Poiares,0109,ADN,31
010916,Mozelos,0109,ADN,76
010917,Nogueira da Regedoura,0109,ADN,52
010918,São Paio de Oleiros,0109,ADN,41
010919,Paços de Brandão,0109,ADN,52
010921,Rio Meão,0109,ADN,38
010922,Romariz,0109,ADN,41
010924,Sanguedo,0109,ADN,56
010925,Santa Maria de Lamas,0109,ADN,38
010926,São João de Ver,0109,ADN,107
010932,Caldas de São Jorge e Pigeiros,0109,ADN,37
010933,"Canedo, Vale e Vila Maior",0109,ADN,118
010934,"Lobão, Gião, Louredo e Guisande",0109,ADN,108
010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",0109,ADN,148
010936,São Miguel de Souto e Mosteirô,0109,ADN,60
011005,Gafanha da Encarnação,0110,ADN,54
011006,Gafanha da Nazaré,0110,ADN,132
011007,Gafanha do Carmo,0110,ADN,17
011008,Ílhavo (São Salvador),0110,ADN,141
011102,Barcouço,0111,ADN,17
011103,Casal Comba,0111,ADN,20
011104,Luso,0111,ADN,17
011106,Pampilhosa,0111,ADN,27
011107,Vacariça,0111,ADN,19
011109,"Mealhada, Ventosa do Bairro e Antes",0111,ADN,59
011201,Bunheiro,0112,ADN,29
011202,Monte,0112,ADN,14
011203,Murtosa,0112,ADN,32
011204,Torreira,0112,ADN,36
011301,Carregosa,0113,ADN,44
011302,Cesar,0113,ADN,37
011303,Fajões,0113,ADN,43
011304,Loureiro,0113,ADN,50
011305,Macieira de Sarnes,0113,ADN,17
011310,Ossela,0113,ADN,24
011315,São Martinho da Gândara,0113,ADN,21
011318,São Roque,0113,ADN,53
011319,Vila de Cucujães,0113,ADN,73
011320,Nogueira do Cravo e Pindelo,0113,ADN,46
011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",0113,ADN,167
011322,"Pinheiro da Bemposta, Travanca e Palmaz",0113,ADN,73
011403,Oiã,0114,ADN,77
011404,Oliveira do Bairro,0114,ADN,70
011405,Palhaça,0114,ADN,35
011407,"Bustos, Troviscal e Mamarrosa",0114,ADN,83
011502,Cortegaça,0115,ADN,31
011503,Esmoriz,0115,ADN,116
011504,Maceda,0115,ADN,33
011507,Válega,0115,ADN,61
011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",0115,ADN,225
011601,São João da Madeira,0116,ADN,147
011702,Couto de Esteves,0117,ADN,14
011704,Pessegueiro do Vouga,0117,ADN,20
011705,Rocas do Vouga,0117,ADN,22
011706,Sever do Vouga,0117,ADN,30
011708,Talhadas,0117,ADN,12
011710,Cedrim e Paradela,0117,ADN,10
011711,Silva Escura e Dornelas,0117,ADN,24
011801,Calvão,0118,ADN,41
011804,Gafanha da Boa Hora,0118,ADN,16
011805,Ouca,0118,ADN,25
011807,Sosa,0118,ADN,35
011810,Santo André de Vagos,0118,ADN,30
011812,Fonte de Angeão e Covão do Lobo,0118,ADN,39
011813,Ponte de Vagos e Santa Catarina,0118,ADN,39
011814,Vagos e Santo António,0118,ADN,67
011901,Arões,0119,ADN,17
011902,São Pedro de Castelões,0119,ADN,80
011903,Cepelos,0119,ADN,16
011905,Junqueira,0119,ADN,8
011906,Macieira de Cambra,0119,ADN,48
011907,Roge,0119,ADN,27
011910,"Vila Chã, Codal e Vila Cova de Perrinho",0119,ADN,57
020102,Ervidel,0201,ADN,2
020103,Messejana,0201,ADN,10
020104,São João de Negrilhos,0201,ADN,10
020106,Aljustrel e Rio de Moinhos,0201,ADN,16
020203,Rosário,0202,ADN,3
020205,Santa Cruz,0202,ADN,7
020206,São Barnabé,0202,ADN,4
020208,Aldeia dos Fernandes,0202,ADN,9
020209,Almodôvar e Graça dos Padrões,0202,ADN,40
020210,Santa Clara-a-Nova e Gomes Aires,0202,ADN,6
020301,Alvito,0203,ADN,2
020302,Vila Nova da Baronia,0203,ADN,6
020401,Barrancos,0204,ADN,5
020502,Baleizão,0205,ADN,3
020503,Beringel,0205,ADN,5
020504,Cabeça Gorda,0205,ADN,3
020506,Nossa Senhora das Neves,0205,ADN,6
020510,Santa Clara de Louredo,0205,ADN,3
020516,São Matias,0205,ADN,2
020519,Albernoa e Trindade,0205,ADN,4
020520,Beja (Salvador e Santa Maria da Feira),0205,ADN,28
020521,Beja (Santiago Maior e São João Baptista),0205,ADN,55
020522,Salvada e Quintos,0205,ADN,6
020523,Santa Vitória e Mombeja,0205,ADN,3
020524,Trigaches e São Brissos,0205,ADN,1
020603,Entradas,0206,ADN,10
020604,Santa Bárbara de Padrões,0206,ADN,5
020605,São Marcos da Ataboeira,0206,ADN,0
020606,Castro Verde e Casével,0206,ADN,26
020701,Cuba,0207,ADN,14
020702,Faro do Alentejo,0207,ADN,1
020703,Vila Alva,0207,ADN,3
020704,Vila Ruiva,0207,ADN,2
020803,Figueira dos Cavaleiros,0208,ADN,8
020804,Odivelas,0208,ADN,2
020807,Alfundão e Peroguarda,0208,ADN,6
020808,Ferreira do Alentejo e Canhestros,0208,ADN,18
020901,Alcaria Ruiva,0209,ADN,2
020902,Corte do Pinto,0209,ADN,3
020903,Espírito Santo,0209,ADN,4
020904,Mértola,0209,ADN,22
020905,Santana de Cambas,0209,ADN,5
020906,São João dos Caldeireiros,0209,ADN,4
020910,"S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros",0209,ADN,4
021001,Amareleja,0210,ADN,16
021002,Póvoa de São Miguel,0210,ADN,4
021008,Sobral da Adiça,0210,ADN,2
021009,Santo Agostinho e São João Baptista e Santo Amador,0210,ADN,16
021010,Safara e Santo Aleixo da Restauração,0210,ADN,5
021102,Relíquias,0211,ADN,3
021103,Sabóia,0211,ADN,10
021106,São Luís,0211,ADN,10
021107,São Martinho das Amoreiras,0211,ADN,5
021111,Vila Nova de Milfontes,0211,ADN,42
021115,Luzianes-Gare,0211,ADN,1
021116,Boavista dos Pinheiros,0211,ADN,9
021117,Longueira/Almograve,0211,ADN,13
021118,Colos,0211,ADN,6
021119,Santa Clara-a-Velha,0211,ADN,3
021120,São Salvador e Santa Maria,0211,ADN,14
021121,São Teotónio,0211,ADN,36
021122,Vale de Santiago,0211,ADN,12
021203,Ourique,0212,ADN,24
021206,Santana da Serra,0212,ADN,5
021207,Garvão e Santa Luzia,0212,ADN,8
021208,Panoias e Conceição,0212,ADN,2
021302,Brinches,0213,ADN,5
021303,Pias,0213,ADN,5
021307,Vila Verde de Ficalho,0213,ADN,4
021308,Serpa (Salvador e Santa Maria),0213,ADN,35
021309,Vila Nova de São Bento e Vale de Vargo,0213,ADN,19
021401,Pedrógão,0214,ADN,2
021402,Selmes,0214,ADN,2
021403,Vidigueira,0214,ADN,11
021404,Vila de Frades,0214,ADN,6
030102,Barreiros,0301,ADN,6
030104,Bico,0301,ADN,5
030105,Caires,0301,ADN,5
030107,Carrazedo,0301,ADN,6
030108,Dornelas,0301,ADN,1
030111,Fiscal,0301,ADN,8
030112,Goães,0301,ADN,3
030113,Lago,0301,ADN,11
030118,Rendufe,0301,ADN,7
030119,Bouro (Santa Maria),0301,ADN,6
030120,Bouro (Santa Marta),0301,ADN,3
030125,Amares e Figueiredo,0301,ADN,17
030126,"Caldelas, Sequeiros e Paranhos",0301,ADN,6
030127,"Ferreiros, Prozelo e Besteiros",0301,ADN,27
030128,Torre e Portela,0301,ADN,2
030129,"Vilela, Seramil e Paredes Secas",0301,ADN,5
030201,Abade de Neiva,0302,ADN,18
030202,Aborim,0302,ADN,7
030203,Adães,0302,ADN,7
030205,Airó,0302,ADN,12
030206,Aldreu,0302,ADN,5
030208,Alvelos,0302,ADN,13
030209,Arcozelo,0302,ADN,63
030210,Areias,0302,ADN,8
030212,Balugães,0302,ADN,6
030213,Barcelinhos,0302,ADN,4
030215,Barqueiros,0302,ADN,10
030216,Cambeses,0302,ADN,4
030218,Carapeços,0302,ADN,14
030220,Carvalhal,0302,ADN,15
030221,Carvalhas,0302,ADN,3
030224,Cossourado,0302,ADN,8
030228,Cristelo,0302,ADN,13
030234,Fornelos,0302,ADN,7
030235,Fragoso,0302,ADN,15
030237,Gilmonde,0302,ADN,9
030242,Lama,0302,ADN,6
030243,Lijó,0302,ADN,20
030244,Macieira de Rates,0302,ADN,21
030245,Manhente,0302,ADN,10
030247,Martim,0302,ADN,15
030252,Moure,0302,ADN,8
030254,Oliveira,0302,ADN,9
030255,Palme,0302,ADN,8
030256,Panque,0302,ADN,3
030257,Paradela,0302,ADN,6
030259,Pereira,0302,ADN,8
030260,Perelhal,0302,ADN,13
