field,description,type
upper_district,Name of redesigned upper-tier district,string
lower_district,Name of single-member sub-district,string
parent_upper_district,Upper-tier district containing this lower-tier district,string
parish_id,6-digit DICOFRE code,string
municipality_id,4-digit DTMN code (DICOFRE prefix),string
party,Party identifier as appearing in the official source,string
votes,Vote count,integer
registered_voters,Eligible voters registered in this unit,integer
voter_share,Share of national registered voters,"float [0,1]"
quota,Hamilton quota (voter_share * total_seats),float
floor_seats,Floor of the Hamilton quota,integer
remainder,Decimal remainder of the Hamilton quota,float
extra_seat,1 if district received an extra seat from largest-remainder,0 or 1
total_mandates,Total seats allocated to district by Hamilton,integer
party_list_seats,Multi-member (D'Hondt) seats,integer
single_member_seats,Lower-tier (winner-take-all) seats,integer
allocated_seats,Seats won by a party in a district via D'Hondt,integer
winning_party,Party with most votes in single-member district,string
margin,Winning_votes - runner_up_votes,integer
margin_pct,Margin as share of total district votes,float
target_voters,Lower-tier target electorate (= upper voters / U_i),integer
deviation,(actual - target) / target,float
is_contiguous,Whether the district is territorially contiguous,boolean
