party,party_list_seats,single_member_seats,total_seats,seat_share,display_name,short_name,color
PPD/PSD.CDS-PP,62,55,117,0.52,PSD/CDS coalition,PSD-CDS,#FF8C00
CH,39,12,51,0.2267,Chega,CH,#1F5DA0
PS,41,4,45,0.2,Partido Socialista,PS,#FF66B2
IL,5,0,5,0.0222,Iniciativa Liberal,IL,#00C0F0
PPD/PSD.CDS-PP.PPM,2,2,4,0.0178,PSD/CDS/PPM coalition,PSD-CDS-PPM,#FFA500
L,2,0,2,0.0089,Livre,L,#00A859
PCP-PEV,1,0,1,0.0044,CDU (PCP-PEV),CDU,#CC0000
ADN,0,0,0,0.0,Alternativa Democrática Nacional,ADN,#3F51B5
B.E.,0,0,0,0.0,Bloco de Esquerda,BE,#A20025
E,0,0,0,0.0,Ergue-te,E,#424242
NC,0,0,0,0.0,Nós Cidadãos,NC,#607D8B
MPT,0,0,0,0.0,Partido da Terra,MPT,#388E3C
JPP,0,0,0,0.0,Juntos Pelo Povo,JPP,#FFD700
PCTP/MRPP,0,0,0,0.0,PCTP/MRPP,MRPP,#8B0000
PAN,0,0,0,0.0,Pessoas-Animais-Natureza,PAN,#0AAB6F
ND,0,0,0,0.0,Nova Direita,ND,#795548
PLS,0,0,0,0.0,Partido Liberal Social,PLS,#00BCD4
PPM,0,0,0,0.0,Partido Popular Monárquico,PPM,#1F4E5F
PTP,0,0,0,0.0,Partido Trabalhista Português,PTP,#E91E63
R.I.R.,0,0,0,0.0,Reagir Incluir Reciclar,RIR,#9C27B0
VP,0,0,0,0.0,Volt Portugal,VP,#5C2D91
