parish_id,upper_district,lower_district,parent_upper_district
020102,Alentejo,Alentejo - SM 3,Alentejo
020103,Alentejo,Alentejo - SM 3,Alentejo
020104,Alentejo,Alentejo - SM 3,Alentejo
020107,Alentejo,Alentejo - SM 3,Alentejo
020108,Alentejo,Alentejo - SM 3,Alentejo
020203,Alentejo,Alentejo - SM 3,Alentejo
020205,Alentejo,Alentejo - SM 3,Alentejo
020206,Alentejo,Alentejo - SM 3,Alentejo
020208,Alentejo,Alentejo - SM 3,Alentejo
020211,Alentejo,Alentejo - SM 3,Alentejo
020212,Alentejo,Alentejo - SM 3,Alentejo
020213,Alentejo,Alentejo - SM 3,Alentejo
020214,Alentejo,Alentejo - SM 3,Alentejo
020301,Alentejo,Alentejo - SM 1,Alentejo
020302,Alentejo,Alentejo - SM 1,Alentejo
020401,Alentejo,Alentejo - SM 2,Alentejo
020502,Alentejo,Alentejo - SM 3,Alentejo
020503,Alentejo,Alentejo - SM 1,Alentejo
020504,Alentejo,Alentejo - SM 3,Alentejo
020506,Alentejo,Alentejo - SM 3,Alentejo
020510,Alentejo,Alentejo - SM 3,Alentejo
020516,Alentejo,Alentejo - SM 1,Alentejo
020519,Alentejo,Alentejo - SM 3,Alentejo
020520,Alentejo,Alentejo - SM 1,Alentejo
020521,Alentejo,Alentejo - SM 3,Alentejo
020522,Alentejo,Alentejo - SM 3,Alentejo
020523,Alentejo,Alentejo - SM 3,Alentejo
020524,Alentejo,Alentejo - SM 3,Alentejo
020603,Alentejo,Alentejo - SM 3,Alentejo
020604,Alentejo,Alentejo - SM 3,Alentejo
020605,Alentejo,Alentejo - SM 3,Alentejo
020606,Alentejo,Alentejo - SM 3,Alentejo
020701,Alentejo,Alentejo - SM 3,Alentejo
020702,Alentejo,Alentejo - SM 1,Alentejo
020703,Alentejo,Alentejo - SM 1,Alentejo
020704,Alentejo,Alentejo - SM 1,Alentejo
020803,Alentejo,Alentejo - SM 3,Alentejo
020804,Alentejo,Alentejo - SM 1,Alentejo
020809,Alentejo,Alentejo - SM 1,Alentejo
020810,Alentejo,Alentejo - SM 3,Alentejo
020811,Alentejo,Alentejo - SM 3,Alentejo
020812,Alentejo,Alentejo - SM 1,Alentejo
020901,Alentejo,Alentejo - SM 3,Alentejo
020902,Alentejo,Alentejo - SM 3,Alentejo
020903,Alentejo,Alentejo - SM 3,Alentejo
020904,Alentejo,Alentejo - SM 3,Alentejo
020905,Alentejo,Alentejo - SM 3,Alentejo
020906,Alentejo,Alentejo - SM 3,Alentejo
020910,Alentejo,Alentejo - SM 3,Alentejo
021001,Alentejo,Alentejo - SM 3,Alentejo
021002,Alentejo,Alentejo - SM 3,Alentejo
021008,Alentejo,Alentejo - SM 3,Alentejo
021009,Alentejo,Alentejo - SM 3,Alentejo
021011,Alentejo,Alentejo - SM 3,Alentejo
021012,Alentejo,Alentejo - SM 3,Alentejo
021102,Alentejo,Alentejo - SM 3,Alentejo
021103,Alentejo,Alentejo - SM 3,Alentejo
021106,Alentejo,Alentejo - SM 3,Alentejo
021107,Alentejo,Alentejo - SM 3,Alentejo
021111,Alentejo,Alentejo - SM 3,Alentejo
021115,Alentejo,Alentejo - SM 3,Alentejo
021116,Alentejo,Alentejo - SM 3,Alentejo
021117,Alentejo,Alentejo - SM 3,Alentejo
021119,Alentejo,Alentejo - SM 3,Alentejo
021120,Alentejo,Alentejo - SM 3,Alentejo
021121,Alentejo,Alentejo - SM 3,Alentejo
021123,Alentejo,Alentejo - SM 3,Alentejo
021124,Alentejo,Alentejo - SM 3,Alentejo
021125,Alentejo,Alentejo - SM 3,Alentejo
021203,Alentejo,Alentejo - SM 3,Alentejo
021206,Alentejo,Alentejo - SM 3,Alentejo
021208,Alentejo,Alentejo - SM 3,Alentejo
021209,Alentejo,Alentejo - SM 3,Alentejo
021210,Alentejo,Alentejo - SM 3,Alentejo
021302,Alentejo,Alentejo - SM 3,Alentejo
021303,Alentejo,Alentejo - SM 3,Alentejo
021307,Alentejo,Alentejo - SM 3,Alentejo
021308,Alentejo,Alentejo - SM 3,Alentejo
021310,Alentejo,Alentejo - SM 3,Alentejo
021311,Alentejo,Alentejo - SM 3,Alentejo
021401,Alentejo,Alentejo - SM 3,Alentejo
021402,Alentejo,Alentejo - SM 3,Alentejo
021403,Alentejo,Alentejo - SM 1,Alentejo
021404,Alentejo,Alentejo - SM 1,Alentejo
070103,Alentejo,Alentejo - SM 1,Alentejo
070104,Alentejo,Alentejo - SM 2,Alentejo
070105,Alentejo,Alentejo - SM 1,Alentejo
070107,Alentejo,Alentejo - SM 2,Alentejo
070201,Alentejo,Alentejo - SM 1,Alentejo
070202,Alentejo,Alentejo - SM 1,Alentejo
070206,Alentejo,Alentejo - SM 1,Alentejo
070209,Alentejo,Alentejo - SM 1,Alentejo
