upper_district,party,party_list_seats,single_member_seats,total_seats
Alentejo,CH,2,2,4
Alentejo,PS,2,1,3
Alentejo,PPD/PSD.CDS-PP,1,0,1
Alentejo,ADN,0,0,0
Alentejo,B.E.,0,0,0
Alentejo,E,0,0,0
Alentejo,IL,0,0,0
Alentejo,L,0,0,0
Alentejo,NC,0,0,0
Alentejo,ND,0,0,0
Alentejo,PAN,0,0,0
Alentejo,PCP-PEV,0,0,0
Alentejo,PCTP/MRPP,0,0,0
Alentejo,PPM,0,0,0
Alentejo,R.I.R.,0,0,0
Alentejo,VP,0,0,0
Aveiro,PPD/PSD.CDS-PP,5,5,10
Aveiro,CH,3,0,3
Aveiro,PS,3,0,3
Aveiro,ADN,0,0,0
Aveiro,B.E.,0,0,0
Aveiro,E,0,0,0
Aveiro,IL,0,0,0
Aveiro,L,0,0,0
Aveiro,NC,0,0,0
Aveiro,ND,0,0,0
Aveiro,PAN,0,0,0
Aveiro,PCP-PEV,0,0,0
Aveiro,PCTP/MRPP,0,0,0
Aveiro,PPM,0,0,0
Aveiro,R.I.R.,0,0,0
Aveiro,VP,0,0,0
Açores,PPD/PSD.CDS-PP.PPM,2,2,4
Açores,CH,1,0,1
Açores,PS,1,0,1
Açores,ADN,0,0,0
Açores,B.E.,0,0,0
Açores,E,0,0,0
Açores,IL,0,0,0
Açores,JPP,0,0,0
Açores,L,0,0,0
Açores,MPT,0,0,0
Açores,PAN,0,0,0
Açores,PCP-PEV,0,0,0
Açores,R.I.R.,0,0,0
Beira Baixa,PPD/PSD.CDS-PP,2,3,5
Beira Baixa,CH,1,0,1
Beira Baixa,PS,1,0,1
Beira Baixa,ADN,0,0,0
Beira Baixa,B.E.,0,0,0
Beira Baixa,E,0,0,0
Beira Baixa,IL,0,0,0
Beira Baixa,L,0,0,0
Beira Baixa,NC,0,0,0
Beira Baixa,PAN,0,0,0
Beira Baixa,PCP-PEV,0,0,0
Beira Baixa,PCTP/MRPP,0,0,0
Beira Baixa,PPM,0,0,0
Beira Baixa,R.I.R.,0,0,0
Beira Baixa,VP,0,0,0
Braga,PPD/PSD.CDS-PP,6,6,12
Braga,CH,3,0,3
Braga,PS,3,0,3
