lower_district,parent_upper_district,winning_party,winning_votes,runner_up_party,runner_up_votes,margin,margin_pct,assumption_note
Alentejo - SM 1,Alentejo,PS,22053,CH,20244,1809,0.0227,party-vote approximation (no candidate-level data)
Alentejo - SM 2,Alentejo,CH,21699,PS,20840,859,0.012,party-vote approximation (no candidate-level data)
Alentejo - SM 3,Alentejo,CH,16804,PS,16384,420,0.007,party-vote approximation (no candidate-level data)
Aveiro - SM 1,Aveiro,PPD/PSD.CDS-PP,28770,PS,16975,11795,0.1647,party-vote approximation (no candidate-level data)
Aveiro - SM 2,Aveiro,PPD/PSD.CDS-PP,40911,PS,20990,19921,0.1989,party-vote approximation (no candidate-level data)
Aveiro - SM 3,Aveiro,PPD/PSD.CDS-PP,46827,PS,30885,15942,0.1285,party-vote approximation (no candidate-level data)
Aveiro - SM 4,Aveiro,PPD/PSD.CDS-PP,23323,PS,10995,12328,0.2441,party-vote approximation (no candidate-level data)
Aveiro - SM 5,Aveiro,PPD/PSD.CDS-PP,23786,CH,14850,8936,0.1555,party-vote approximation (no candidate-level data)
Açores - SM 1,Açores,PPD/PSD.CDS-PP.PPM,18257,CH,15115,3142,0.06,party-vote approximation (no candidate-level data)
Açores - SM 2,Açores,PPD/PSD.CDS-PP.PPM,18622,PS,12180,6442,0.1454,party-vote approximation (no candidate-level data)
Beira Baixa - SM 1,Beira Baixa,PPD/PSD.CDS-PP,17949,PS,13332,4617,0.0973,party-vote approximation (no candidate-level data)
Beira Baixa - SM 2,Beira Baixa,PPD/PSD.CDS-PP,27253,PS,23819,3434,0.0446,party-vote approximation (no candidate-level data)
Beira Baixa - SM 3,Beira Baixa,PPD/PSD.CDS-PP,20705,CH,14235,6470,0.1153,party-vote approximation (no candidate-level data)
Braga - SM 1,Braga,PPD/PSD.CDS-PP,18730,CH,11074,7656,0.1655,party-vote approximation (no candidate-level data)
Braga - SM 2,Braga,PPD/PSD.CDS-PP,34960,PS,20864,14096,0.1625,party-vote approximation (no candidate-level data)
