lower_district,parent_upper_district,party,votes
Alentejo - SM 1,Alentejo,PS,22053
Alentejo - SM 1,Alentejo,CH,20244
Alentejo - SM 1,Alentejo,PPD/PSD.CDS-PP,19701
Alentejo - SM 1,Alentejo,PCP-PEV,9196
Alentejo - SM 1,Alentejo,IL,2344
Alentejo - SM 1,Alentejo,L,2281
Alentejo - SM 1,Alentejo,B.E.,1517
Alentejo - SM 1,Alentejo,ADN,848
Alentejo - SM 1,Alentejo,PAN,816
Alentejo - SM 1,Alentejo,VP,138
Alentejo - SM 1,Alentejo,R.I.R.,136
Alentejo - SM 1,Alentejo,PCTP/MRPP,100
Alentejo - SM 1,Alentejo,E,87
Alentejo - SM 1,Alentejo,NC,74
Alentejo - SM 1,Alentejo,PPM,60
Alentejo - SM 1,Alentejo,ND,9
Alentejo - SM 2,Alentejo,CH,21699
Alentejo - SM 2,Alentejo,PS,20840
Alentejo - SM 2,Alentejo,PPD/PSD.CDS-PP,19653
Alentejo - SM 2,Alentejo,PCP-PEV,3963
Alentejo - SM 2,Alentejo,IL,1456
Alentejo - SM 2,Alentejo,L,1311
Alentejo - SM 2,Alentejo,B.E.,954
Alentejo - SM 2,Alentejo,ADN,822
Alentejo - SM 2,Alentejo,PAN,487
Alentejo - SM 2,Alentejo,PCTP/MRPP,246
Alentejo - SM 2,Alentejo,R.I.R.,106
Alentejo - SM 2,Alentejo,VP,87
Alentejo - SM 2,Alentejo,PPM,70
Alentejo - SM 2,Alentejo,E,64
Alentejo - SM 2,Alentejo,NC,31
Alentejo - SM 2,Alentejo,ND,3
Alentejo - SM 3,Alentejo,CH,16804
Alentejo - SM 3,Alentejo,PS,16384
Alentejo - SM 3,Alentejo,PPD/PSD.CDS-PP,12581
Alentejo - SM 3,Alentejo,PCP-PEV,8455
Alentejo - SM 3,Alentejo,L,1237
Alentejo - SM 3,Alentejo,IL,1161
Alentejo - SM 3,Alentejo,B.E.,1114
Alentejo - SM 3,Alentejo,ADN,645
Alentejo - SM 3,Alentejo,PAN,516
Alentejo - SM 3,Alentejo,PCTP/MRPP,372
Alentejo - SM 3,Alentejo,R.I.R.,110
Alentejo - SM 3,Alentejo,ND,85
Alentejo - SM 3,Alentejo,VP,82
Alentejo - SM 3,Alentejo,PPM,73
Alentejo - SM 3,Alentejo,E,71
Alentejo - SM 3,Alentejo,NC,1
Aveiro - SM 1,Aveiro,PPD/PSD.CDS-PP,28770
Aveiro - SM 1,Aveiro,PS,16975
Aveiro - SM 1,Aveiro,CH,15101
Aveiro - SM 1,Aveiro,IL,3993
Aveiro - SM 1,Aveiro,L,2122
Aveiro - SM 1,Aveiro,ADN,1161
Aveiro - SM 1,Aveiro,B.E.,1135
Aveiro - SM 1,Aveiro,PAN,827
Aveiro - SM 1,Aveiro,PCP-PEV,798
Aveiro - SM 1,Aveiro,PCTP/MRPP,177
Aveiro - SM 1,Aveiro,R.I.R.,169
Aveiro - SM 1,Aveiro,VP,115
Aveiro - SM 1,Aveiro,E,108
Aveiro - SM 1,Aveiro,ND,76
Aveiro - SM 1,Aveiro,NC,43
Aveiro - SM 1,Aveiro,PPM,41
Aveiro - SM 2,Aveiro,PPD/PSD.CDS-PP,40911
Aveiro - SM 2,Aveiro,PS,20990
Aveiro - SM 2,Aveiro,CH,20946
Aveiro - SM 2,Aveiro,IL,6504
Aveiro - SM 2,Aveiro,L,3887
Aveiro - SM 2,Aveiro,B.E.,1813
Aveiro - SM 2,Aveiro,ADN,1694
Aveiro - SM 2,Aveiro,PAN,1291
Aveiro - SM 2,Aveiro,PCP-PEV,1230
Aveiro - SM 2,Aveiro,PCTP/MRPP,224
Aveiro - SM 2,Aveiro,R.I.R.,159
Aveiro - SM 2,Aveiro,VP,157
Aveiro - SM 2,Aveiro,E,119
Aveiro - SM 2,Aveiro,ND,104
Aveiro - SM 2,Aveiro,NC,77
Aveiro - SM 2,Aveiro,PPM,62
Aveiro - SM 3,Aveiro,PPD/PSD.CDS-PP,46827
Aveiro - SM 3,Aveiro,PS,30885
Aveiro - SM 3,Aveiro,CH,25195
Aveiro - SM 3,Aveiro,IL,7517
Aveiro - SM 3,Aveiro,L,4021
Aveiro - SM 3,Aveiro,B.E.,2484
Aveiro - SM 3,Aveiro,ADN,2006
Aveiro - SM 3,Aveiro,PCP-PEV,1892
Aveiro - SM 3,Aveiro,PAN,1839
Aveiro - SM 3,Aveiro,PCTP/MRPP,379
Aveiro - SM 3,Aveiro,R.I.R.,314
Aveiro - SM 3,Aveiro,E,188
Aveiro - SM 3,Aveiro,VP,177
Aveiro - SM 3,Aveiro,ND,139
Aveiro - SM 3,Aveiro,NC,95
Aveiro - SM 3,Aveiro,PPM,95
