parish_id,municipality_id,municipio,distrito_ilha,upper_district
010103,0101,Águeda,Aveiro,Aveiro
010109,0101,Águeda,Aveiro,Aveiro
010112,0101,Águeda,Aveiro,Aveiro
010119,0101,Águeda,Aveiro,Aveiro
010124,0101,Águeda,Aveiro,Aveiro
010125,0101,Águeda,Aveiro,Aveiro
010126,0101,Águeda,Aveiro,Aveiro
010127,0101,Águeda,Aveiro,Aveiro
010128,0101,Águeda,Aveiro,Aveiro
010129,0101,Águeda,Aveiro,Aveiro
010130,0101,Águeda,Aveiro,Aveiro
010131,0101,Águeda,Aveiro,Aveiro
010132,0101,Águeda,Aveiro,Aveiro
010133,0101,Águeda,Aveiro,Aveiro
010134,0101,Águeda,Aveiro,Aveiro
010202,0102,Albergaria-a-Velha,Aveiro,Aveiro
010203,0102,Albergaria-a-Velha,Aveiro,Aveiro
010204,0102,Albergaria-a-Velha,Aveiro,Aveiro
010206,0102,Albergaria-a-Velha,Aveiro,Aveiro
010209,0102,Albergaria-a-Velha,Aveiro,Aveiro
010210,0102,Albergaria-a-Velha,Aveiro,Aveiro
010304,0103,Anadia,Aveiro,Aveiro
010305,0103,Anadia,Aveiro,Aveiro
010307,0103,Anadia,Aveiro,Aveiro
010309,0103,Anadia,Aveiro,Aveiro
010310,0103,Anadia,Aveiro,Aveiro
010312,0103,Anadia,Aveiro,Aveiro
010313,0103,Anadia,Aveiro,Aveiro
010316,0103,Anadia,Aveiro,Aveiro
010317,0103,Anadia,Aveiro,Aveiro
010318,0103,Anadia,Aveiro,Aveiro
010402,0104,Arouca,Aveiro,Aveiro
010407,0104,Arouca,Aveiro,Aveiro
010409,0104,Arouca,Aveiro,Aveiro
010411,0104,Arouca,Aveiro,Aveiro
010413,0104,Arouca,Aveiro,Aveiro
010414,0104,Arouca,Aveiro,Aveiro
010415,0104,Arouca,Aveiro,Aveiro
010416,0104,Arouca,Aveiro,Aveiro
010417,0104,Arouca,Aveiro,Aveiro
010418,0104,Arouca,Aveiro,Aveiro
010419,0104,Arouca,Aveiro,Aveiro
010420,0104,Arouca,Aveiro,Aveiro
010421,0104,Arouca,Aveiro,Aveiro
010422,0104,Arouca,Aveiro,Aveiro
010423,0104,Arouca,Aveiro,Aveiro
010424,0104,Arouca,Aveiro,Aveiro
010501,0105,Aveiro,Aveiro,Aveiro
010502,0105,Aveiro,Aveiro,Aveiro
010505,0105,Aveiro,Aveiro,Aveiro
010508,0105,Aveiro,Aveiro,Aveiro
010510,0105,Aveiro,Aveiro,Aveiro
010511,0105,Aveiro,Aveiro,Aveiro
010513,0105,Aveiro,Aveiro,Aveiro
010515,0105,Aveiro,Aveiro,Aveiro
010516,0105,Aveiro,Aveiro,Aveiro
010517,0105,Aveiro,Aveiro,Aveiro
010602,0106,Castelo de Paiva,Aveiro,Aveiro
010606,0106,Castelo de Paiva,Aveiro,Aveiro
010607,0106,Castelo de Paiva,Aveiro,Aveiro
010608,0106,Castelo de Paiva,Aveiro,Aveiro
010612,0106,Castelo de Paiva,Aveiro,Aveiro
010613,0106,Castelo de Paiva,Aveiro,Aveiro
010614,0106,Castelo de Paiva,Aveiro,Aveiro
010615,0106,Castelo de Paiva,Aveiro,Aveiro
010616,0106,Castelo de Paiva,Aveiro,Aveiro
010702,0107,Espinho,Aveiro,Aveiro
010704,0107,Espinho,Aveiro,Aveiro
010705,0107,Espinho,Aveiro,Aveiro
010707,0107,Espinho,Aveiro,Aveiro
010708,0107,Espinho,Aveiro,Aveiro
010801,0108,Estarreja,Aveiro,Aveiro
010805,0108,Estarreja,Aveiro,Aveiro
010806,0108,Estarreja,Aveiro,Aveiro
010809,0108,Estarreja,Aveiro,Aveiro
010810,0108,Estarreja,Aveiro,Aveiro
010811,0108,Estarreja,Aveiro,Aveiro
010901,0109,Santa Maria da Feira,Aveiro,Aveiro
010902,0109,Santa Maria da Feira,Aveiro,Aveiro
010904,0109,Santa Maria da Feira,Aveiro,Aveiro
010907,0109,Santa Maria da Feira,Aveiro,Aveiro
010908,0109,Santa Maria da Feira,Aveiro,Aveiro
010913,0109,Santa Maria da Feira,Aveiro,Aveiro
010914,0109,Santa Maria da Feira,Aveiro,Aveiro
010916,0109,Santa Maria da Feira,Aveiro,Aveiro
010917,0109,Santa Maria da Feira,Aveiro,Aveiro
010918,0109,Santa Maria da Feira,Aveiro,Aveiro
010919,0109,Santa Maria da Feira,Aveiro,Aveiro
010921,0109,Santa Maria da Feira,Aveiro,Aveiro
010922,0109,Santa Maria da Feira,Aveiro,Aveiro
010924,0109,Santa Maria da Feira,Aveiro,Aveiro
010925,0109,Santa Maria da Feira,Aveiro,Aveiro
010926,0109,Santa Maria da Feira,Aveiro,Aveiro
010935,0109,Santa Maria da Feira,Aveiro,Aveiro
010937,0109,Santa Maria da Feira,Aveiro,Aveiro
010938,0109,Santa Maria da Feira,Aveiro,Aveiro
010939,0109,Santa Maria da Feira,Aveiro,Aveiro
010940,0109,Santa Maria da Feira,Aveiro,Aveiro
010941,0109,Santa Maria da Feira,Aveiro,Aveiro
010942,0109,Santa Maria da Feira,Aveiro,Aveiro
010943,0109,Santa Maria da Feira,Aveiro,Aveiro
010944,0109,Santa Maria da Feira,Aveiro,Aveiro
010945,0109,Santa Maria da Feira,Aveiro,Aveiro
010946,0109,Santa Maria da Feira,Aveiro,Aveiro
010947,0109,Santa Maria da Feira,Aveiro,Aveiro
011005,0110,Ílhavo,Aveiro,Aveiro
011006,0110,Ílhavo,Aveiro,Aveiro
011007,0110,Ílhavo,Aveiro,Aveiro
011008,0110,Ílhavo,Aveiro,Aveiro
011102,0111,Mealhada,Aveiro,Aveiro
011103,0111,Mealhada,Aveiro,Aveiro
011104,0111,Mealhada,Aveiro,Aveiro
011106,0111,Mealhada,Aveiro,Aveiro
011107,0111,Mealhada,Aveiro,Aveiro
011110,0111,Mealhada,Aveiro,Aveiro
011111,0111,Mealhada,Aveiro,Aveiro
011112,0111,Mealhada,Aveiro,Aveiro
011201,0112,Murtosa,Aveiro,Aveiro
011202,0112,Murtosa,Aveiro,Aveiro
011203,0112,Murtosa,Aveiro,Aveiro
011204,0112,Murtosa,Aveiro,Aveiro
011301,0113,Oliveira de Azeméis,Aveiro,Aveiro
011302,0113,Oliveira de Azeméis,Aveiro,Aveiro
011303,0113,Oliveira de Azeméis,Aveiro,Aveiro
011304,0113,Oliveira de Azeméis,Aveiro,Aveiro
011305,0113,Oliveira de Azeméis,Aveiro,Aveiro
011310,0113,Oliveira de Azeméis,Aveiro,Aveiro
011315,0113,Oliveira de Azeméis,Aveiro,Aveiro
011318,0113,Oliveira de Azeméis,Aveiro,Aveiro
011319,0113,Oliveira de Azeméis,Aveiro,Aveiro
011321,0113,Oliveira de Azeméis,Aveiro,Aveiro
011322,0113,Oliveira de Azeméis,Aveiro,Aveiro
011323,0113,Oliveira de Azeméis,Aveiro,Aveiro
011324,0113,Oliveira de Azeméis,Aveiro,Aveiro
011403,0114,Oliveira do Bairro,Aveiro,Aveiro
011404,0114,Oliveira do Bairro,Aveiro,Aveiro
011405,0114,Oliveira do Bairro,Aveiro,Aveiro
011407,0114,Oliveira do Bairro,Aveiro,Aveiro
011502,0115,Ovar,Aveiro,Aveiro
011503,0115,Ovar,Aveiro,Aveiro
011504,0115,Ovar,Aveiro,Aveiro
011507,0115,Ovar,Aveiro,Aveiro
