upper_district,party,votes
Alentejo,PS,59277
Alentejo,CH,58747
Alentejo,PPD/PSD.CDS-PP,51935
Alentejo,PCP-PEV,21614
Alentejo,IL,4961
Alentejo,L,4829
Alentejo,B.E.,3585
Alentejo,ADN,2315
Alentejo,PAN,1819
Alentejo,PCTP/MRPP,718
Alentejo,R.I.R.,352
Alentejo,VP,307
Alentejo,E,222
Alentejo,PPM,203
Alentejo,NC,106
Alentejo,ND,97
Aveiro,PPD/PSD.CDS-PP,163617
Aveiro,PS,90010
Aveiro,CH,85760
Aveiro,IL,23444
Aveiro,L,12805
Aveiro,B.E.,7015
Aveiro,ADN,6974
Aveiro,PAN,5131
Aveiro,PCP-PEV,4923
Aveiro,PCTP/MRPP,1005
Aveiro,R.I.R.,933
Aveiro,VP,592
Aveiro,E,528
Aveiro,ND,472
Aveiro,PPM,304
Aveiro,NC,299
Açores,PPD/PSD.CDS-PP.PPM,36879
Açores,PS,23810
Açores,CH,23053
Açores,IL,3481
Açores,L,2534
Açores,B.E.,2106
Açores,ADN,1666
Açores,PAN,1314
Açores,PCP-PEV,1219
Açores,JPP,271
Açores,R.I.R.,140
Açores,E,119
Açores,MPT,113
Beira Baixa,PPD/PSD.CDS-PP,65907
Beira Baixa,PS,51301
Beira Baixa,CH,41560
Beira Baixa,IL,5137
Beira Baixa,L,3881
Beira Baixa,ADN,3532
Beira Baixa,PCP-PEV,3264
Beira Baixa,B.E.,2725
Beira Baixa,PAN,1551
Beira Baixa,R.I.R.,333
Beira Baixa,PPM,324
Beira Baixa,VP,316
Beira Baixa,PCTP/MRPP,300
Beira Baixa,E,225
Beira Baixa,NC,117
Braga,PPD/PSD.CDS-PP,192829
Braga,PS,123782
Braga,CH,117248
Braga,IL,36156
Braga,L,16402
Braga,B.E.,9887
Braga,PCP-PEV,9108
Braga,ADN,5188
Braga,PAN,5113
Braga,R.I.R.,1063
Braga,ND,867
Braga,VP,683
Braga,E,515
Braga,JPP,298
Braga,PPM,271
Coimbra,PPD/PSD.CDS-PP,79524
Coimbra,PS,63348
Coimbra,CH,42527
Coimbra,IL,10273
Coimbra,L,9392
Coimbra,PCP-PEV,5796
Coimbra,B.E.,5027
Coimbra,ADN,3752
Coimbra,PAN,2828
Coimbra,R.I.R.,474
Coimbra,VP,400
Coimbra,E,340
Coimbra,ND,245
Coimbra,PPM,235
Coimbra,JPP,154
Faro,CH,78168
Faro,PPD/PSD.CDS-PP,59353
Faro,PS,47293
Faro,IL,10047
Faro,L,7735
Faro,PCP-PEV,6170
Faro,B.E.,5724
Faro,ADN,4182
Faro,PAN,4161
Faro,R.I.R.,512
Faro,E,486
Faro,VP,437
Faro,ND,423
Faro,PPM,332
Faro,JPP,262
Leiria,PPD/PSD.CDS-PP,98243
Leiria,CH,61162
Leiria,PS,50321
Leiria,IL,15971
Leiria,L,9299
Leiria,ADN,5745
Leiria,PCP-PEV,5468
Leiria,B.E.,5099
Leiria,PAN,3103
Leiria,ND,723
Leiria,R.I.R.,587
Leiria,VP,487
Leiria,E,398
Leiria,PPM,323
Lisboa 1,PPD/PSD.CDS-PP,117200
Lisboa 1,PS,93977
Lisboa 1,CH,75254
Lisboa 1,IL,31575
Lisboa 1,L,26226
Lisboa 1,PCP-PEV,12061
Lisboa 1,B.E.,8651
Lisboa 1,PAN,7545
Lisboa 1,ADN,4781
Lisboa 1,PCTP/MRPP,1008
Lisboa 1,VP,957
Lisboa 1,ND,612
Lisboa 1,E,606
Lisboa 1,PLS,583
Lisboa 1,R.I.R.,557
Lisboa 1,PPM,317
Lisboa 1,JPP,240
Lisboa 1,NC,225
Lisboa 2,PPD/PSD.CDS-PP,133087
Lisboa 2,PS,106773
Lisboa 2,CH,83211
Lisboa 2,IL,37057
Lisboa 2,L,36900
Lisboa 2,PCP-PEV,18267
Lisboa 2,B.E.,11544
Lisboa 2,PAN,7584
Lisboa 2,ADN,4791
Lisboa 2,PCTP/MRPP,1316
Lisboa 2,VP,1238
Lisboa 2,E,788
Lisboa 2,R.I.R.,716
Lisboa 2,PLS,636
Lisboa 2,ND,553
Lisboa 2,PPM,324
Lisboa 2,JPP,243
Lisboa 2,NC,228
Lisboa 3,PPD/PSD.CDS-PP,112219
Lisboa 3,CH,107253
Lisboa 3,PS,100742
Lisboa 3,IL,28466
Lisboa 3,L,24404
Lisboa 3,PCP-PEV,15102
Lisboa 3,B.E.,9719
Lisboa 3,PAN,8240
Lisboa 3,ADN,5843
Lisboa 3,PCTP/MRPP,1342
Lisboa 3,VP,961
Lisboa 3,R.I.R.,926
Lisboa 3,ND,851
Lisboa 3,E,758
Lisboa 3,PLS,675
Lisboa 3,JPP,332
Lisboa 3,PPM,304
Lisboa 3,NC,302
Madeira,PPD/PSD.CDS-PP,57447
Madeira,CH,29038
Madeira,PS,18704
Madeira,JPP,17115
Madeira,IL,3657
Madeira,B.E.,1870
Madeira,PCP-PEV,1763
Madeira,L,1749
Madeira,ADN,1554
Madeira,PAN,1445
